# Datennamhe mit Kamiokanne 3. - 22. Apr. 2018  
#  Kanne 2 Karlsruhe, 1100 V, Trg. 45mv, Doppelpuls > 35 mV

# Run Summary: started 180403-2005  Trun=1623453.2s
#             Ntrig=6517345   Tlife=1574187.2s
#             Nacc=6403821 Ndble=1881

# Nacc, Ndble, Tau, delT(iChan), ... V(iChan)
1539, 1, 2.348,   2.348, 0.451
2407, 2, 11.51,   11.51, 0.162
4673, 3, 14.52,   14.52, 0.185
5278, 4, 0.468,   0.468, 0.123
9338, 5, 3.08,   3.08, 0.533
24586, 6, 13.26,   13.26, 0.236
26349, 7, 1.772,   1.772, 0.146
27585, 8, 13.87,   13.87, 0.482
35565, 9, 13.56,   13.56, 0.0643
38492, 10, 1.496,   1.496, 0.287
45858, 11, 10.14,   10.14, 0.0526
52625, 12, 10.95,   10.95, 0.318
60133, 13, 3.26,   3.26, 0.217
71863, 14, 5.128,   5.128, 0.0994
72330, 15, 14.94,   14.94, 0.361
91578, 16, 1.54,   1.54, 0.142
99043, 17, 4.036,   4.036, 0.181
99903, 18, 0.528,   0.528, 0.127
124251, 19, 8.432,   8.432, 0.111
126922, 20, 0.644,   0.644, 0.244
129105, 21, 5.52,   5.52, 0.0526
131589, 22, 1.752,   1.752, 0.146
133641, 23, 0.192,   0.192, 0.123
137450, 24, 14.54,   14.54, 0.123
139220, 25, 1.728,   1.728, 0.119
140921, 26, 3.564,   3.564, 0.076
148277, 27, 2.748,   2.748, 0.174
148645, 28, 3.94,   3.94, 0.146
153831, 29, 1.328,   1.328, 0.0682
161712, 30, 3.356,   3.356, 0.0487
169789, 31, 6.56,   6.56, 0.111
170588, 32, 11.52,   11.52, 0.0916
173762, 33, 8.832,   8.832, 0.0721
178374, 34, 1.14,   1.14, 0.416
179396, 35, 10.91,   10.91, 0.232
179533, 36, 14.18,   14.18, 0.185
183503, 37, 0.46,   0.46, 0.0604
188339, 38, 0.364,   0.364, 0.0604
196158, 39, 10.34,   10.34, 0.201
203614, 40, 1.312,   1.312, 0.154
205062, 41, 6.848,   6.848, 0.0643
215139, 42, 3.628,   3.628, 0.271
223398, 43, 4.564,   4.564, 0.0682
241989, 44, 0.96,   0.96, 0.0643
249535, 45, 2.536,   2.536, 0.177
252150, 46, 0.732,   0.732, 0.076
255098, 47, 7.86,   7.86, 0.146
256450, 48, 2.008,   2.008, 0.123
260695, 49, 2.128,   2.128, 0.248
263705, 50, 4.844,   4.844, 0.0526
264436, 51, 3.756,   3.756, 0.228
264959, 52, 0.376,   0.376, 0.17
274518, 53, 1.032,   1.032, 0.533
274823, 54, 2.548,   2.548, 0.0682
276492, 55, 1.632,   1.632, 0.0643
301160, 56, 3.508,   3.508, 0.634
304039, 57, 4.456,   4.456, 0.123
334970, 58, 0.256,   0.256, 0.0643
341427, 59, 1.296,   1.296, 0.0526
356415, 60, 2.76,   2.76, 0.0916
366209, 61, 6.872,   6.872, 0.177
383280, 62, 2.216,   2.216, 0.166
387092, 63, 7.46,   7.46, 0.0877
401599, 64, 9.448,   9.448, 0.127
405816, 65, 1.3,   1.3, 0.244
416376, 66, 0.404,   0.404, 0.252
422543, 67, 1.572,   1.572, 0.0526
422755, 68, 2,   2, 0.185
423261, 69, 5.676,   5.676, 0.0955
428115, 70, 0.204,   0.204, 0.0682
451067, 71, 12.24,   12.24, 0.181
454448, 72, 2.512,   2.512, 0.275
456718, 73, 0.456,   0.456, 0.384
461306, 74, 10.94,   10.94, 0.0487
463855, 75, 2.732,   2.732, 0.115
495792, 76, 5.54,   5.54, 0.0799
507507, 77, 2.14,   2.14, 0.0487
508339, 78, 3.388,   3.388, 0.111
512522, 79, 2.96,   2.96, 0.0838
513156, 80, 2.552,   2.552, 0.103
513493, 81, 4.064,   4.064, 0.0487
520006, 82, 0.58,   0.58, 0.0916
525821, 83, 1.412,   1.412, 0.0565
540863, 84, 1.636,   1.636, 0.127
541004, 85, 1.168,   1.168, 0.31
561160, 86, 0.248,   0.248, 0.0526
563061, 87, 0.568,   0.568, 0.0487
566268, 88, 9.512,   9.512, 0.0448
572477, 89, 8.964,   8.964, 0.0799
578171, 90, 1.084,   1.084, 0.0526
582506, 91, 0.728,   0.728, 0.076
590087, 92, 0.532,   0.532, 0.0526
590992, 93, 1.52,   1.52, 0.166
591235, 94, 0.54,   0.54, 0.302
591415, 95, 10.9,   10.9, 0.365
592607, 96, 5.736,   5.736, 0.474
594369, 97, 0.692,   0.692, 0.146
595419, 98, 0.844,   0.844, 0.0604
597634, 99, 0.816,   0.816, 0.0994
599356, 100, 1.444,   1.444, 0.24
603961, 101, 8.552,   8.552, 0.283
610916, 102, 11.38,   11.38, 0.0643
611746, 103, 1.816,   1.816, 0.267
617040, 104, 6.504,   6.504, 0.0487
620412, 105, 1.46,   1.46, 0.0604
633330, 106, 2.504,   2.504, 0.217
634621, 107, 1.464,   1.464, 0.0604
636015, 108, 0.96,   0.96, 0.0916
637016, 109, 1.128,   1.128, 0.396
644102, 110, 3.712,   3.712, 0.0838
667435, 111, 4.668,   4.668, 0.146
669502, 112, 5.42,   5.42, 0.0487
671606, 113, 3.616,   3.616, 0.0565
673540, 114, 5.912,   5.912, 0.38
683964, 115, 1.488,   1.488, 0.0565
687299, 116, 4.032,   4.032, 0.0682
687575, 117, 4.736,   4.736, 0.263
691784, 118, 0.224,   0.224, 0.263
694825, 119, 0.82,   0.82, 0.0799
703572, 120, 8.7,   8.7, 0.0955
704365, 121, 6.192,   6.192, 0.0838
705516, 122, 5.796,   5.796, 0.0838
711147, 123, 0.74,   0.74, 0.314
715222, 124, 1.4,   1.4, 0.287
717892, 125, 0.196,   0.196, 0.0604
718174, 126, 0.308,   0.308, 0.228
720228, 127, 3.392,   3.392, 0.654
720251, 128, 7.808,   7.808, 0.283
720866, 129, 6.344,   6.344, 0.0955
733568, 130, 0.604,   0.604, 0.0526
737670, 131, 1.884,   1.884, 0.0526
746065, 132, 0.46,   0.46, 0.193
782148, 133, 0.98,   0.98, 0.716
792332, 134, 2.332,   2.332, 0.0604
811747, 135, 1.76,   1.76, 0.162
814457, 136, 13.1,   13.1, 0.205
818082, 137, 0.744,   0.744, 0.267
837134, 138, 0.872,   0.872, 0.0682
839679, 139, 0.476,   0.476, 0.0565
847385, 140, 4.344,   4.344, 0.0994
859989, 141, 0.764,   0.764, 0.174
860938, 142, 0.372,   0.372, 0.361
868146, 143, 2.988,   2.988, 0.0565
872032, 144, 0.44,   0.44, 0.0643
875341, 145, 13.88,   13.88, 0.213
885545, 146, 7.44,   7.44, 0.306
904675, 147, 0.692,   0.692, 0.0838
908055, 148, 5.804,   5.804, 0.174
918511, 149, 9.5,   9.5, 0.174
919163, 150, 14.16,   14.16, 0.103
938369, 151, 9.904,   9.904, 0.131
939004, 152, 3.196,   3.196, 0.0877
940676, 153, 3.012,   3.012, 0.271
946092, 154, 6.056,   6.056, 0.123
951608, 155, 6.328,   6.328, 0.47
954324, 156, 9.064,   9.064, 0.478
960200, 157, 3.068,   3.068, 0.123
987203, 158, 0.916,   0.916, 0.142
993236, 159, 9.352,   9.352, 0.318
994970, 160, 1.936,   1.936, 0.31
1000488, 161, 1.08,   1.08, 0.318
1007509, 162, 1.984,   1.984, 0.0409
1011034, 163, 1.792,   1.792, 0.302
1011342, 164, 9.384,   9.384, 0.0682
1012862, 165, 10.15,   10.15, 0.142
1015492, 166, 4.756,   4.756, 0.388
1015493, 167, 1.52,   1.52, 0.256
1015494, 168, 3.912,   3.912, 0.338
1019377, 169, 1.712,   1.712, 0.427
1028240, 170, 10.57,   10.57, 0.213
1042869, 171, 5.304,   5.304, 0.443
1058771, 172, 2.968,   2.968, 0.166
1059413, 173, 9.632,   9.632, 0.0604
1059753, 174, 0.276,   0.276, 0.322
1061279, 175, 12.91,   12.91, 0.17
1061954, 176, 7.116,   7.116, 0.306
1066642, 177, 1.212,   1.212, 0.244
1075728, 178, 8.532,   8.532, 0.248
1080460, 179, 11.2,   11.2, 0.0526
1089119, 180, 0.972,   0.972, 0.0565
1094371, 181, 3,   3, 0.111
1095994, 182, 4.792,   4.792, 0.0604
1096669, 183, 2.512,   2.512, 0.0487
1100117, 184, 0.64,   0.64, 0.166
1103128, 185, 1.352,   1.352, 0.373
1117923, 186, 0.78,   0.78, 0.0916
1119788, 187, 2.168,   2.168, 0.209
1122495, 188, 0.216,   0.216, 0.0916
1124934, 189, 0.78,   0.78, 0.236
1126734, 190, 4.344,   4.344, 0.107
1137308, 191, 1.316,   1.316, 0.0526
1142087, 192, 0.332,   0.332, 0.0604
1142368, 193, 0.324,   0.324, 0.361
1154636, 194, 0.452,   0.452, 0.0682
1158393, 195, 1.468,   1.468, 0.326
1170608, 196, 1.152,   1.152, 0.115
1174287, 197, 6.024,   6.024, 0.0721
1178734, 198, 3.272,   3.272, 0.162
1181528, 199, 11.2,   11.2, 0.123
1181815, 200, 0.228,   0.228, 0.0604
1188027, 201, 4.96,   4.96, 0.0799
1197140, 202, 0.172,   0.172, 0.162
1197785, 203, 10.16,   10.16, 0.076
1200712, 204, 2.14,   2.14, 0.15
1206587, 205, 12.01,   12.01, 0.22
1226961, 206, 2.856,   2.856, 0.15
1233075, 207, 0.528,   0.528, 0.345
1235574, 208, 10.01,   10.01, 0.271
1236293, 209, 1.232,   1.232, 0.72
1236708, 210, 2.668,   2.668, 0.142
1244125, 211, 0.2,   0.2, 0.318
1247723, 212, 9.176,   9.176, 0.142
1261473, 213, 0.992,   0.992, 0.505
1263853, 214, 13.54,   13.54, 0.0838
1266706, 215, 1.08,   1.08, 0.369
1267936, 216, 2.316,   2.316, 0.209
1270060, 217, 7.548,   7.548, 0.107
1284917, 218, 1.432,   1.432, 0.0838
1287156, 219, 3.428,   3.428, 0.22
1293231, 220, 11.78,   11.78, 0.388
1295553, 221, 7.428,   7.428, 0.275
1313945, 222, 9.228,   9.228, 0.115
1325859, 223, 0.948,   0.948, 0.146
1333727, 224, 4.752,   4.752, 0.076
1333798, 225, 0.716,   0.716, 0.275
1344154, 226, 5.54,   5.54, 0.619
1347244, 227, 2.508,   2.508, 0.334
1351133, 228, 3.724,   3.724, 0.138
1351178, 229, 1.152,   1.152, 0.22
1351332, 230, 2.08,   2.08, 0.177
1351881, 231, 1.708,   1.708, 0.0721
1366616, 232, 2.148,   2.148, 0.0643
1384671, 233, 1.464,   1.464, 0.0916
1387174, 234, 0.324,   0.324, 0.119
1396738, 235, 14.25,   14.25, 0.166
1397236, 236, 0.648,   0.648, 0.341
1417003, 237, 10.53,   10.53, 0.076
1429211, 238, 0.744,   0.744, 0.15
1432895, 239, 1.608,   1.608, 0.248
1439585, 240, 0.244,   0.244, 0.209
1440168, 241, 3.836,   3.836, 0.111
1440815, 242, 0.924,   0.924, 0.119
1445386, 243, 1.356,   1.356, 0.501
1446790, 244, 2.804,   2.804, 0.135
1457910, 245, 6.66,   6.66, 0.0526
1467770, 246, 0.844,   0.844, 0.111
1477758, 247, 0.844,   0.844, 0.0682
1479914, 248, 0.488,   0.488, 0.123
1481098, 249, 0.42,   0.42, 0.177
1487758, 250, 1.736,   1.736, 0.0994
1496609, 251, 5.132,   5.132, 0.259
1499179, 252, 0.356,   0.356, 0.154
1501255, 253, 1.18,   1.18, 0.0565
1533563, 254, 2.176,   2.176, 0.299
1554040, 255, 1.176,   1.176, 0.0565
1554429, 256, 1.244,   1.244, 0.0565
1555481, 257, 0.928,   0.928, 0.533
1556804, 258, 0.232,   0.232, 0.0955
1563141, 259, 11.21,   11.21, 0.107
1563691, 260, 6.008,   6.008, 0.119
1572528, 261, 0.436,   0.436, 0.158
1580160, 262, 4.104,   4.104, 0.0643
1582512, 263, 0.596,   0.596, 0.0721
1587603, 264, 10.46,   10.46, 0.162
1590274, 265, 4.048,   4.048, 0.22
1590881, 266, 0.456,   0.456, 0.412
1592061, 267, 2.26,   2.26, 0.17
1607104, 268, 0.484,   0.484, 0.0565
1609984, 269, 6.404,   6.404, 0.0565
1610621, 270, 1.172,   1.172, 0.0604
1612516, 271, 1.62,   1.62, 0.0526
1617567, 272, 2.016,   2.016, 0.189
1626571, 273, 7.492,   7.492, 0.0565
1629926, 274, 1.036,   1.036, 0.0565
1655781, 275, 6.98,   6.98, 0.0682
1656192, 276, 5.728,   5.728, 0.158
1657909, 277, 7.336,   7.336, 0.15
1659586, 278, 0.628,   0.628, 0.193
1671769, 279, 14.72,   14.72, 0.0448
1679285, 280, 0.332,   0.332, 0.111
1688062, 281, 8.12,   8.12, 0.498
1692364, 282, 0.264,   0.264, 0.0448
1692682, 283, 2.76,   2.76, 0.0838
1694850, 284, 1.148,   1.148, 0.193
1695249, 285, 1.58,   1.58, 0.0448
1695265, 286, 1.708,   1.708, 0.591
1696780, 287, 2.096,   2.096, 0.0838
1697644, 288, 10.54,   10.54, 0.0643
1701269, 289, 0.18,   0.18, 0.193
1704186, 290, 1.14,   1.14, 0.0916
1707156, 291, 2.456,   2.456, 0.314
1707588, 292, 3.992,   3.992, 0.123
1713588, 293, 6.356,   6.356, 0.259
1741728, 294, 4.008,   4.008, 0.228
1749894, 295, 7.788,   7.788, 0.0643
1758809, 296, 4.468,   4.468, 0.299
1759898, 297, 3.056,   3.056, 0.505
1761554, 298, 4.188,   4.188, 0.0526
1761619, 299, 0.592,   0.592, 0.146
1779141, 300, 0.324,   0.324, 0.111
1797926, 301, 5.168,   5.168, 0.193
1806057, 302, 8.86,   8.86, 0.0994
1809050, 303, 12.98,   12.98, 0.174
1827106, 304, 3.948,   3.948, 0.0994
1827967, 305, 11.19,   11.19, 0.181
1830573, 306, 2.064,   2.064, 0.0526
1834224, 307, 14.75,   14.75, 0.0799
1834949, 308, 5.376,   5.376, 0.193
1835652, 309, 4.032,   4.032, 0.0916
1861530, 310, 6.528,   6.528, 0.213
1863373, 311, 1.212,   1.212, 0.38
1880246, 312, 0.476,   0.476, 0.135
1890213, 313, 3.828,   3.828, 0.0526
1894277, 314, 10.67,   10.67, 0.267
1900079, 315, 3.388,   3.388, 0.0565
1902821, 316, 1.224,   1.224, 0.0916
1907589, 317, 1.288,   1.288, 0.0682
1912795, 318, 12.42,   12.42, 0.0838
1913988, 319, 0.44,   0.44, 0.423
1915508, 320, 0.204,   0.204, 0.076
1919429, 321, 0.432,   0.432, 0.357
1919549, 322, 14.16,   14.16, 0.396
1934716, 323, 0.176,   0.176, 0.131
1940112, 324, 0.788,   0.788, 0.0565
1940447, 325, 12.11,   12.11, 0.0565
1959433, 326, 5.964,   5.964, 0.15
1967253, 327, 0.352,   0.352, 0.306
1970664, 328, 1.34,   1.34, 0.127
1979898, 329, 6.56,   6.56, 0.201
1981856, 330, 7.124,   7.124, 0.142
1981991, 331, 0.748,   0.748, 0.0565
1982379, 332, 1.86,   1.86, 0.377
1987039, 333, 3.72,   3.72, 0.0643
2002069, 334, 1.792,   1.792, 0.306
2002639, 335, 1.52,   1.52, 0.0526
2002976, 336, 3.488,   3.488, 0.0565
2007046, 337, 0.328,   0.328, 0.154
2027135, 338, 0.256,   0.256, 0.0838
2038473, 339, 1.592,   1.592, 0.193
2039480, 340, 0.964,   0.964, 0.33
2045299, 341, 6.464,   6.464, 0.076
2056648, 342, 2.372,   2.372, 0.0643
2062300, 343, 8.664,   8.664, 0.076
2062446, 344, 1.26,   1.26, 0.0604
2068989, 345, 1.204,   1.204, 0.0799
2083986, 346, 3.208,   3.208, 0.0526
2085182, 347, 5.028,   5.028, 0.0643
2089801, 348, 14.26,   14.26, 0.501
2098973, 349, 14.88,   14.88, 0.392
2103991, 350, 0.896,   0.896, 0.0565
2124146, 351, 1.168,   1.168, 0.0565
2134292, 352, 13.32,   13.32, 0.131
2142328, 353, 1.832,   1.832, 0.146
2144695, 354, 1.588,   1.588, 0.0604
2161056, 355, 2.828,   2.828, 0.15
2163264, 356, 13.86,   13.86, 0.299
2166286, 357, 0.796,   0.796, 0.564
2168894, 358, 1.684,   1.684, 0.361
2174518, 359, 5.7,   5.7, 0.209
2186304, 360, 8.7,   8.7, 0.256
2189789, 361, 0.236,   0.236, 0.0838
2191756, 362, 7.052,   7.052, 0.0526
2199472, 363, 1.28,   1.28, 0.107
2202143, 364, 7.08,   7.08, 0.0682
2205327, 365, 2.444,   2.444, 0.224
2205725, 366, 8.86,   8.86, 0.0487
2208988, 367, 1.488,   1.488, 0.138
2211841, 368, 1.36,   1.36, 0.369
2224164, 369, 3.4,   3.4, 0.0721
2228239, 370, 9.104,   9.104, 0.123
2230718, 371, 1.264,   1.264, 0.0526
2239531, 372, 0.58,   0.58, 0.166
2246409, 373, 9.848,   9.848, 0.306
2249021, 374, 11.76,   11.76, 0.396
2261682, 375, 0.256,   0.256, 0.0955
2273886, 376, 1.752,   1.752, 0.213
2276088, 377, 3.008,   3.008, 0.236
2278893, 378, 7.688,   7.688, 0.201
2305791, 379, 2.076,   2.076, 0.166
2323909, 380, 6.56,   6.56, 0.0526
2332877, 381, 4.048,   4.048, 0.0526
2334113, 382, 0.876,   0.876, 0.115
2337984, 383, 7.104,   7.104, 0.509
2339154, 384, 6.38,   6.38, 0.0643
2346472, 385, 13.74,   13.74, 0.0604
2360249, 386, 2.768,   2.768, 0.42
2368877, 387, 9.764,   9.764, 0.306
2389675, 388, 1.14,   1.14, 0.197
2398366, 389, 1.108,   1.108, 0.0565
2402114, 390, 0.632,   0.632, 0.0448
2405581, 391, 14.74,   14.74, 0.79
2405660, 392, 4.156,   4.156, 0.0526
2409187, 393, 3.692,   3.692, 0.0526
2417431, 394, 0.46,   0.46, 0.334
2418454, 395, 3.296,   3.296, 0.0682
2421324, 396, 0.752,   0.752, 0.181
2426693, 397, 0.384,   0.384, 0.0526
2427932, 398, 2.78,   2.78, 0.275
2432742, 399, 1.5,   1.5, 0.0604
2449187, 400, 6.84,   6.84, 0.135
2449683, 401, 4.44,   4.44, 0.135
2450397, 402, 5.336,   5.336, 0.166
2479643, 403, 1.388,   1.388, 0.107
2498083, 404, 0.224,   0.224, 0.583
2512755, 405, 3.848,   3.848, 0.326
2518259, 406, 0.456,   0.456, 0.209
2529204, 407, 5.516,   5.516, 0.162
2538802, 408, 0.376,   0.376, 0.299
2541014, 409, 6.64,   6.64, 0.0838
2553706, 410, 0.296,   0.296, 0.0487
